,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-06-21,300.7538375854492,289.94945971171063,303.9360860188802,-10161336
2025-06-22,300.9220676422119,289.9307454427083,303.56443723042804,-9288666
2025-06-23,299.1101818084717,289.71702003479004,302.1593958536784,-9805388
2025-06-24,300.18172899882,290.23683738708496,303.9397328694661,-9683682
2025-06-25,300.20280901590985,289.46068382263184,303.4327621459961,-10448858
2025-06-26,300.03677558898926,289.9610061645508,303.563517888387,-10507582
2025-06-27,300.79275639851886,291.6636136372884,304.44784609476727,-10230520
2025-06-28,301.2943738301595,292.2165387471517,305.0885117848714,-10299132
2025-06-29,301.10555775960285,292.60440762837726,304.386178334554,-9617998
2025-06-30,302.2947247823079,291.89587529500324,305.81730969746906,-9456226
2025-07-01,301.56374104817706,293.3231493631999,305.2809130350749,-8154124
2025-07-02,300.7183430989583,291.43474769592285,304.4198360443115,-8957318
2025-07-03,301.72840309143066,292.8778870900472,305.41307830810547,-8757256
2025-07-04,301.6231047312419,292.4331932067871,305.1016101837158,-9427808
2025-07-05,300.98283831278485,290.11399205525714,304.65918350219727,-9675752
2025-07-06,300.7500336964925,290.37498537699383,304.4177710215251,-10559958
2025-07-07,300.6522636413574,290.69560623168945,304.2501277923584,-10616886
2025-07-08,300.27616182963055,290.74185307820636,303.7400716145833,-10444154
2025-07-09,301.01209449768066,291.88264147440594,304.63561757405597,-9040270
2025-07-10,301.4803524017334,292.8879744211833,304.95313517252606,-9215188
2025-07-11,301.2664972941081,292.86902046203613,305.39158630371094,-8444080
2025-07-12,301.1497694651286,292.2755540211995,304.7846387227376,-9159986
2025-07-13,300.2612946828206,291.46049372355145,303.76036135355633,-9611814
2025-07-14,300.4239781697591,291.40024121602374,303.93010266621906,-9478046
2025-07-15,300.97425651550293,290.2494589487712,304.14564577738446,-9991101
2025-07-16,302.48805046081543,288.73396492004395,306.41661008199054,-10855776
2025-07-17,303.27394040425617,290.959197362264,307.10242970784503,-9851937
